City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,luohe,33.5717,114.0353,6.8799999999999955,95,100,4.92,CN,1682211520
312,antofagasta,-23.65,-70.4,18.600000000000023,84,0,3.02,CL,1682211335
313,huarmey,-10.0681,-78.1522,25.150000000000034,81,68,4.28,PE,1682211169
314,moose jaw,50.4001,-105.5344,3.140000000000043,60,22,4.12,CA,1682211520
315,taltal,-25.4,-70.4833,18.100000000000023,81,10,1.43,CL,1682211172
316,okha,53.5739,142.9478,-0.5299999999999727,83,100,7.23,RU,1682211520
317,raudeberg,61.9875,5.1352,9.370000000000005,76,100,12.06,NO,1682211235
318,lompoc,34.6391,-120.4579,22.05000000000001,79,75,15.65,US,1682211156
319,krasnozerskoye,53.9828,79.2374,3.2000000000000455,58,100,5.31,RU,1682211521
320,atambua,-9.1061,124.8925,26.52000000000004,72,13,1.2,ID,1682211164
321,celestun,20.8667,-90.4,26.640000000000043,75,3,7.19,MX,1682211521
322,gornopravdinsk,60.05,69.9,1.2600000000000477,96,73,1.55,RU,1682211521
323,herat,34.5,62.0,17.439999999999998,10,8,2.22,AF,1682211521
324,karpogory,64.0019,44.4451,-4.539999999999964,93,44,3.02,RU,1682211521
325,saint george,37.1041,-113.5841,24.03000000000003,21,20,3.09,US,1682211155
326,zyryanskoye,56.8306,86.6258,2.3700000000000045,69,100,3.45,RU,1682211521
327,ust-kuyga,70.0167,135.6,-4.099999999999966,86,38,2.37,RU,1682211332
328,san borja,-14.8167,-66.85,22.439999999999998,85,10,1.08,BO,1682211521
329,leningradskiy,69.3833,178.4167,-7.769999999999982,92,91,7.53,RU,1682211173
330,leh,34.1667,77.5833,-8.519999999999982,42,0,3.57,IN,1682211160
331,okhotsk,59.3833,143.3,1.8100000000000023,63,7,4.36,RU,1682211167
